Gene	TCGA-3C-AAAU-01A-11R-A41G-13	TCGA-3C-AALI-01A-11R-A41G-13	TCGA-3C-AALJ-01A-31R-A41G-13	TCGA-3C-AALK-01A-11R-A41G-13	TCGA-4H-AAAK-01A-12R-A41G-13	TCGA-5L-AAT0-01A-12R-A41G-13	TCGA-5L-AAT1-01A-12R-A41G-13	TCGA-5T-A9QA-01A-11R-A41G-13	TCGA-A1-A0SB-01A-11R-A143-13	TCGA-A1-A0SD-01A-11R-A114-13	TCGA-A1-A0SF-01A-11R-A143-13	TCGA-A1-A0SG-01A-11R-A143-13	TCGA-A1-A0SI-01A-11R-A143-13	TCGA-A1-A0SN-01A-11R-A143-13	TCGA-A1-A0SQ-01A-21R-A143-13	TCGA-A2-A04N-01A-11R-A114-13	TCGA-A2-A04U-01A-11R-A114-13	TCGA-A2-A04W-01A-31R-A114-13	TCGA-A2-A0CK-01A-11R-A22I-13	TCGA-A2-A0CL-01A-11R-A114-13	TCGA-A2-A0CO-01A-13R-A22I-13	TCGA-A2-A0CR-01A-11R-A22I-13	TCGA-A2-A0CS-01A-11R-A114-13	TCGA-A2-A0CV-01A-31R-A114-13	TCGA-A2-A0CW-01A-21R-A114-13	TCGA-A2-A0D3-01A-11R-A114-13	TCGA-A2-A0EP-01A-52R-A22V-13	TCGA-A2-A0ES-01A-11R-A114-13	TCGA-A2-A0EW-01A-21R-A114-13	TCGA-A2-A0T3-01A-21R-A114-13	TCGA-A2-A1FV-01A-11R-A13P-13	TCGA-A2-A1FW-01A-11R-A13P-13	TCGA-A2-A1FX-01A-11R-A13P-13	TCGA-A2-A1FZ-01A-51R-A14C-13	TCGA-A2-A1G0-01A-11R-A13P-13	TCGA-A2-A1G1-01A-21R-A13P-13	TCGA-A2-A1G4-01A-11R-A13P-13	TCGA-A2-A1G6-01A-11R-A13P-13	TCGA-A2-A259-01A-11R-A16E-13	TCGA-A2-A25A-01A-12R-A16E-13	TCGA-A2-A25B-01A-11R-A168-13	TCGA-A2-A25C-01A-11R-A168-13	TCGA-A2-A25D-01A-12R-A16E-13	TCGA-A2-A25E-01A-11R-A168-13	TCGA-A2-A25F-01A-11R-A168-13	TCGA-A2-A3KC-01A-11R-A214-13	TCGA-A2-A3KD-01A-12R-A214-13	TCGA-A2-A3XS-01A-11R-A22V-13	TCGA-A2-A3XT-01A-11R-A22V-13
hsa-miR-1910-5p|MIMAT0007884	0.749901	NA	0.328926	NA	NA	NA	NA	NA	0.418142	NA	0.127872	NA	NA	NA	NA	NA	NA	0.27299	NA	0.297654	NA	0.282298	NA	0.220397	1.776117	NA	NA	NA	NA	1.977108	NA	0.252058	NA	1.151428	NA	0.382485	1.091066	NA	NA	0.147232	0.622977	NA	0.672918	NA	NA	NA	0.189025	0.138404	NA
hsa-miR-1911-5p|MIMAT0007885	NA	NA	NA	NA	NA	0.136678	NA	NA	NA	0.243511	0.255744	NA	NA	0.275384	NA	NA	0.751786	NA	NA	NA	0.407816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.407537	NA	0.147232	NA	NA	NA	NA	NA	0.134222	NA	NA	NA
hsa-miR-1911-3p|MIMAT0007886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1912|MIMAT0007887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.141149	NA	0.220397	NA	NA	0.097795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1913|MIMAT0007888	NA	NA	0.109642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.135939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.764969	NA	NA	NA	NA	NA	NA	NA	NA	0.988168	NA	NA	0.276808	NA
hsa-miR-1914-5p|MIMAT0007889	0.468688	0.157309	0.767492	0.15811	NA	0.136678	NA	NA	NA	NA	NA	NA	0.412551	NA	NA	NA	NA	NA	NA	0.595308	NA	NA	0.265996	NA	0.592039	NA	NA	NA	NA	NA	NA	0.252058	NA	0.287857	NA	NA	NA	NA	NA	NA	0.622977	NA	NA	1.699004	0.988168	NA	NA	0.138404	NA
hsa-miR-1914-3p|MIMAT0007890	0.093738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.297654	NA	NA	NA	NA	0.507462	NA	NA	NA	NA	NA	NA	0.252058	NA	NA	NA	NA	NA	NA	NA	NA	0.622977	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1915-5p|MIMAT0007891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.297654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.285507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1915-3p|MIMAT0007892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.849502	NA	NA	NA	NA	NA
hsa-miR-1972|MIMAT0009447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1973|MIMAT0009448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1976|MIMAT0009451	22.778223	3.146173	8.223117	6.00819	4.054299	5.467118	9.468002	12.105588	6.690277	4.626706	7.2887	19.464518	7.013375	4.681526	18.526376	5.279166	6.766074	9.008682	5.661889	15.775655	8.292255	8.045499	8.245889	11.460656	8.965163	10.710738	12.419952	12.524169	11.051502	5.366435	4.267539	2.520582	8.338943	16.119984	5.424629	6.884723	5.455334	6.520586	18.628912	6.036493	18.689306	37.09045	5.046885	19.53855	121.544625	3.489783	9.64029	9.688308	19.04924
hsa-miR-2052|MIMAT0009977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-2053|MIMAT0009978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-2054|MIMAT0009979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-2110|MIMAT0010133	0.187476	0.471926	0.548208	0.632441	0.486516	0.136678	0.59175	0.550254	1.672568	0.974044	1.022976	NA	NA	0.826152	0.617546	0.377083	3.383037	0.54598	0.893982	1.190616	0.543755	0.282298	0.797988	0.440794	0.84577	0.382526	1.075745	0.963399	NA	1.41222	1.93979	3.024697	0.320729	0.287857	NA	1.147455	0.545533	0.407537	3.921876	0.736159	3.114885	1.090896	1.682295	NA	3.952671	0.536889	0.945126	0.830426	1.002591
